ID do Aluno,CPF,Nome,Telefone,E-mail,Data de Contratação,Plano vigente,Anual/Mensal,Valor do Plano,Valor Renovação,Data de renovação,Forma de pagamento,Parcelas,Já renovou antes,Mesmo nome do Cartão?,Acessos 30D,Acessos 90d,Cursos Concluídos (Sempre),Cursos Concluídos (30d),Comunicações Abertas 30d,Comunicações Abertas 90d,OptOut,Bounce,Incomunicavel?
200012,000.000.000-12,Ana Gomes,(74) 94608-9637,ana.gomes.12@email.com,2024-12-08,Plus,Anual,900,720,2025-12-08,Cartão,12x,Não,Sim,4,10,6,0,2,7,Não,Não,Não
200013,000.000.000-13,Mariana Silva,(59) 96717-2590,mariana.silva.13@outlook.com,2023-06-29,Plus,Anual,900,720,2024-06-28,Cartão,Nx,Sim,Sim,12,31,25,0,1,8,Não,Não,Não
200014,000.000.000-14,Karen Pereira,(45) 95895-1333,karen.pereira.14@outlook.com,2023-09-12,Plus,Anual,900,720,2024-09-11,Cartão,Nx,Não,Sim,0,1,0,0,0,1,Não,Sim,Sim
200015,000.000.000-15,Paulo Lima,,paulo.lima.15@gmail.com,2023-11-30,Plus,Anual,900,720,2024-11-29,Cartão,Nx,Não,Sim,0,1,4,0,0,2,Não,Não,Não
200016,000.000.000-16,Carlos Costa,(64) 94799-9706,carlos.costa.16@aluno.com,2023-02-14,Plus,Anual,900,720,2024-02-14,Cartão,12x,Sim,Sim,20,28,38,1,4,6,Não,Não,Não
200017,000.000.000-17,Carlos Souza,(80) 97481-3407,carlos.souza.17@outlook.com,2023-07-19,Plus,Anual,900,720,2024-07-18,Cartão,12x,Não,Sim,18,24,8,4,4,8,Não,Não,Não
200018,000.000.000-18,Gustavo Pereira,(42) 92794-0749,gustavo.pereira.18@email.com,2024-02-18,Plus,Anual,900,720,2025-02-17,Cartão,Nx,Sim,Sim,1,5,12,1,1,4,Não,Não,Não
200019,000.000.000-19,Karen Pereira,(57) 92051-8491,karen.pereira.19@aluno.com,2023-08-19,Plus,Anual,900,720,2024-08-18,Boleto,1x,Não,,4,11,9,0,0,6,Não,Não,Sim
200020,000.000.000-20,Eduardo Nascimento,(24) 91690-8588,eduardo.nascimento.20@email.com,2024-04-16,Ultra,Anual,1200,960,2025-04-16,Cartão,Nx,Não,Sim,15,27,28,1,1,8,Não,Não,Não
200021,000.000.000-21,Tatiana Rodrigues,(96) 92764-2288,tatiana.rodrigues.21@aluno.com,2023-07-04,Plus,Anual,900,720,2024-07-03,Cartão,12x,Não,Sim,0,0,0,0,0,2,Não,Sim,Sim
200022,000.000.000-22,Gustavo Almeida,,gustavo.almeida.22@gmail.com,2023-04-28,Plus,Anual,900,720,2024-04-27,Cartão,12x,Sim,Sim,10,20,20,3,2,7,Sim,Não,Não
200023,000.000.000-23,Mariana Rodrigues,(18) 90777-8606,mariana.rodrigues.23@email.com,2023-04-23,Pro,Anual,1000,800,2024-04-22,Cartão,Nx,Sim,Sim,0,2,5,0,1,2,Não,Não,Sim
200024,000.000.000-24,Eduardo Almeida,(88) 93883-3062,eduardo.almeida.24@outlook.com,2023-11-17,Plus,Anual,900,720,2024-11-16,Outros,1x,Não,,15,34,5,2,2,3,Não,Não,Não
200025,000.000.000-25,Daniela Gomes,(79) 92667-2479,daniela.gomes.25@aluno.com,2024-10-12,Plus,Anual,900,720,2025-10-12,Cartão,1x,Não,Sim,19,31,40,4,4,4,Não,Sim,Sim
200026,000.000.000-26,Fernanda Pereira,(23) 91830-4985,fernanda.pereira.26@email.com,2023-10-04,Plus,Anual,900,720,2024-10-03,Boleto,1x,Sim,,0,1,0,0,1,2,Não,Não,Não
200027,000.000.000-27,Renata Lima,(96) 97179-7720,renata.lima.27@email.com,2023-12-04,Plus,Anual,900,720,2024-12-03,Cartão,12x,Não,Sim,0,1,3,0,0,1,Não,Sim,Sim
200028,000.000.000-28,Olivia Almeida,(56) 99047-4577,olivia.almeida.28@gmail.com,2023-05-16,Plus,Anual,900,720,2024-05-15,Cartão,12x,Sim,Sim,17,24,10,1,3,10,Não,Não,Não
200029,000.000.000-29,Juliana Souza,(26) 97636-4165,juliana.souza.29@aluno.com,2023-09-30,Plus,Anual,900,720,2024-09-29,Cartão,12x,Não,Sim,13,25,40,2,1,2,Não,Não,Não
200030,000.000.000-30,Gustavo Nascimento,,gustavo.nascimento.30@email.com,2023-06-07,Pro,Anual,1000,800,2024-06-06,Cartão,12x,Sim,Sim,0,1,4,0,1,1,Não,Não,Sim
200031,000.000.000-31,Sergio Rodrigues,(38) 91203-8102,sergio.rodrigues.31@aluno.com,2023-02-13,Plus,Anual,900,720,2024-02-13,Cartão,Nx,Não,Sim,5,12,38,0,2,2,Não,Não,Não
200032,000.000.000-32,Karen Oliveira,(62) 95753-0397,karen.oliveira.32@email.com,2023-03-31,Plus,Anual,900,720,2024-03-30,Cartão,12x,Sim,Sim,25,37,28,4,3,8,Não,Não,Não
200033,000.000.000-33,Sergio Souza,(11) 97789-2789,sergio.souza.33@gmail.com,2024-06-16,Pro,Anual,1000,800,2025-06-16,Cartão,1x,Não,Sim,6,10,11,2,0,7,Não,Não,Não
200034,000.000.000-34,Juliana Lima,(86) 98754-4267,juliana.lima.34@outlook.com,2023-07-23,Pro,Anual,1000,800,2024-07-22,Cartão,12x,Sim,Sim,3,10,11,0,0,1,Não,Não,Não
200035,000.000.000-35,Daniela Nascimento,(40) 98417-2789,daniela.nascimento.35@aluno.com,2023-12-10,Plus,Anual,900,720,2024-12-09,Cartão,12x,Não,Sim,0,2,2,0,1,2,Não,Não,Não
200036,000.000.000-36,Bruno Lima,(29) 94952-8338,bruno.lima.36@email.com,2023-05-24,Plus,Anual,900,720,2024-05-23,Boleto,1x,Sim,,6,17,7,2,2,2,Não,Não,Não
200037,000.000.000-37,Paulo Lima,(71) 92090-6629,paulo.lima.37@outlook.com,2023-12-25,Plus,Anual,900,720,2024-12-24,Pix,1x,Não,,4,8,2,1,3,7,Não,Não,Não
200038,000.000.000-38,Carlos Rodrigues,(12) 91498-5717,carlos.rodrigues.38@email.com,2024-12-31,Plus,Anual,900,720,2025-12-31,Cartão,Nx,Não,Sim,0,2,5,0,1,3,Sim,Não,Sim
200039,000.000.000-39,Olivia Pereira,(71) 95752-1327,olivia.pereira.39@email.com,2023-12-23,Plus,Anual,900,720,2024-12-22,Cartão,Nx,Não,Sim,0,2,2,0,0,0,Sim,Não,Sim
200040,000.000.000-40,Renata Silva,(76) 95642-9802,renata.silva.40@aluno.com,2024-12-22,Plus,Anual,900,720,2025-12-22,Cartão,12x,Não,Sim,17,35,12,3,2,3,Não,Não,Não
200041,000.000.000-41,Carlos Souza,(35) 91105-9898,carlos.souza.41@email.com,2024-03-08,Plus,Anual,900,720,2025-03-08,Cartão,1x,Não,Sim,0,1,5,0,0,0,Não,Sim,Sim
200042,000.000.000-42,Mariana Almeida,(53) 94936-2658,mariana.almeida.42@outlook.com,2023-03-06,Plus,Anual,900,720,2024-03-05,Cartão,12x,Sim,Sim,14,18,18,2,3,7,Não,Não,Não
200043,000.000.000-43,Sergio Silva,(30) 92791-5915,sergio.silva.43@outlook.com,2023-09-04,Ultra,Anual,1200,960,2024-09-03,Boleto,1x,Não,,3,6,4,1,2,7,Não,Não,Não
200044,000.000.000-44,Igor Almeida,(48) 91064-6790,igor.almeida.44@aluno.com,2024-04-22,Plus,Anual,900,720,2025-04-22,Cartão,Nx,Não,Sim,22,41,13,1,1,2,Não,Não,Não
200045,000.000.000-45,Victor Costa,(48) 92348-3845,victor.costa.45@gmail.com,2024-12-15,Plus,Anual,900,720,2025-12-15,Cartão,12x,Não,Sim,6,20,34,1,3,4,Não,Não,Não
200046,000.000.000-46,Juliana Almeida,(69) 93600-0785,juliana.almeida.46@gmail.com,2024-09-19,Plus,Anual,900,720,2025-09-19,Outros,1x,Não,,22,26,24,1,4,11,Não,Sim,Sim
200047,000.000.000-47,Fernanda Rodrigues,,fernanda.rodrigues.47@gmail.com,2023-02-12,Plus,Anual,900,720,2024-02-12,Pix,1x,Sim,,18,34,16,0,5,10,Não,Não,Não
200048,000.000.000-48,Nicolas Oliveira,(50) 92292-7973,nicolas.oliveira.48@aluno.com,2023-05-11,Plus,Anual,900,720,2024-05-10,Cartão,12x,Não,Não,3,10,7,2,2,2,Não,Não,Não
200049,000.000.000-49,Olivia Lima,(97) 97885-8933,olivia.lima.49@gmail.com,2023-06-12,Plus,Anual,900,720,2024-06-11,Cartão,12x,Sim,Não,13,21,6,3,4,12,Não,Não,Não
200050,000.000.000-50,Victor Almeida,(20) 93600-4178,victor.almeida.50@outlook.com,2024-07-29,Plus,Anual,900,720,2025-07-29,Cartão,12x,Não,Sim,10,13,10,3,3,10,Sim,Não,Não
200051,000.000.000-51,Renata Souza,(50) 91286-4193,renata.souza.51@aluno.com,2024-10-14,Plus,Anual,900,720,2025-10-14,Cartão,12x,Não,Sim,0,2,3,0,0,2,Não,Não,Sim
200052,000.000.000-52,Daniela Pereira,(43) 93588-9533,daniela.pereira.52@email.com,2023-04-16,Plus,Anual,900,720,2024-04-15,Cartão,12x,Não,Sim,4,7,3,0,2,2,Não,Não,Não
200053,000.000.000-53,Eduardo Lima,(65) 94991-5822,eduardo.lima.53@aluno.com,2023-06-14,Plus,Anual,900,720,2024-06-13,Cartão,12x,Sim,Sim,0,1,4,0,0,3,Não,Não,Sim
200054,000.000.000-54,Victor Pereira,(87) 94615-5903,victor.pereira.54@aluno.com,2024-12-31,Pro,Anual,1000,800,2025-12-31,Cartão,12x,Não,Sim,4,15,1,0,0,0,Não,Não,Não
200055,000.000.000-55,Fernanda Pereira,(33) 98648-0934,fernanda.pereira.55@outlook.com,2024-02-15,Pro,Anual,1000,800,2025-02-14,Cartão,12x,Sim,Sim,25,38,13,0,4,5,Não,Não,Não
200056,000.000.000-56,Lucas Oliveira,(46) 96137-4665,lucas.oliveira.56@aluno.com,2024-09-26,Plus,Anual,900,720,2025-09-26,Cartão,12x,Não,Sim,7,26,36,0,5,11,Não,Não,Não
200057,000.000.000-57,Gustavo Pereira,,gustavo.pereira.57@email.com,2023-03-16,Plus,Anual,900,720,2024-03-15,Boleto,1x,Sim,,5,16,8,1,2,3,Não,Não,Não
200058,000.000.000-58,Renata Gomes,(35) 90468-5715,renata.gomes.58@gmail.com,2024-10-03,Plus,Anual,900,720,2025-10-03,Cartão,Nx,Não,Sim,16,29,13,1,1,4,Não,Não,Não
200059,000.000.000-59,Daniela Gomes,(18) 99561-7850,daniela.gomes.59@email.com,2024-01-14,Plus,Anual,900,720,2025-01-13,Cartão,12x,Não,Sim,6,18,6,2,0,1,Não,Não,Não
200060,000.000.000-60,Juliana Almeida,(86) 98397-9184,juliana.almeida.60@outlook.com,2023-07-27,Plus,Anual,900,720,2024-07-26,Outros,1x,Não,,19,30,36,2,5,10,Não,Não,Não
200061,000.000.000-61,Eduardo Oliveira,(17) 98946-9340,eduardo.oliveira.61@outlook.com,2024-02-07,Ultra,Anual,1200,960,2025-02-06,Cartão,1x,Não,Sim,24,34,15,4,3,4,Não,Não,Não
200062,000.000.000-62,Mariana Almeida,(11) 90856-9460,mariana.almeida.62@gmail.com,2024-11-15,Plus,Anual,900,720,2025-11-15,Cartão,12x,Sim,Sim,25,40,30,4,3,3,Não,Não,Não
200063,000.000.000-63,Fernanda Gomes,(52) 93026-0315,fernanda.gomes.63@outlook.com,2024-07-02,Ultra,Anual,1200,960,2025-07-02,Outros,1x,Não,,1,4,13,1,3,5,Não,Não,Sim
200064,000.000.000-64,Ana Gomes,(18) 95387-7706,ana.gomes.64@email.com,2023-06-17,Plus,Anual,900,720,2024-06-16,Cartão,1x,Sim,Sim,12,22,17,1,1,9,Não,Sim,Sim
200065,000.000.000-65,Sergio Oliveira,(74) 99957-4055,sergio.oliveira.65@aluno.com,2024-08-17,Pro,Anual,1000,800,2025-08-17,Cartão,Nx,Não,Sim,6,20,9,1,5,9,Não,Não,Não
200066,000.000.000-66,Helena Pereira,(45) 98375-8024,helena.pereira.66@outlook.com,2023-04-08,Pro,Anual,1000,800,2024-04-07,Cartão,12x,Sim,Sim,0,0,1,0,0,2,Não,Não,Não
200067,000.000.000-67,Carlos Lima,(77) 95320-6847,carlos.lima.67@gmail.com,2024-01-12,Plus,Anual,900,720,2025-01-11,Boleto,1x,Não,,0,2,1,0,1,3,Não,Sim,Sim
200068,000.000.000-68,Daniela Souza,(61) 92643-3495,daniela.souza.68@email.com,2024-07-16,Ultra,Anual,1200,960,2025-07-16,Cartão,1x,Não,Sim,0,0,5,0,1,1,Sim,Não,Não
200069,000.000.000-69,Olivia Silva,(46) 96729-4447,olivia.silva.69@email.com,2023-09-26,Plus,Anual,900,720,2024-09-25,Cartão,12x,Não,Sim,8,25,13,4,5,10,Não,Não,Não
200070,000.000.000-70,Karen Nascimento,(84) 93876-8056,karen.nascimento.70@gmail.com,2023-07-23,Plus,Anual,900,720,2024-07-22,Cartão,1x,Não,Sim,19,29,33,3,4,5,Não,Não,Não
200071,000.000.000-71,Igor Lima,(13) 99736-8803,igor.lima.71@email.com,2024-03-25,Plus,Anual,900,720,2025-03-25,Cartão,1x,Sim,Não,25,42,12,2,2,4,Não,Não,Não
200072,000.000.000-72,Juliana Rodrigues,(98) 95865-6263,juliana.rodrigues.72@outlook.com,2023-03-22,Ultra,Anual,1200,960,2024-03-21,Cartão,12x,Não,Sim,20,35,28,3,1,12,Não,Não,Não
200073,000.000.000-73,Sergio Pereira,(37) 92924-3936,sergio.pereira.73@gmail.com,2024-06-08,Plus,Anual,900,720,2025-06-08,Pix,1x,Não,,14,22,23,0,3,8,Não,Não,Não
200074,000.000.000-74,Olivia Oliveira,,olivia.oliveira.74@email.com,2023-08-16,Pro,Anual,1000,800,2024-08-15,Cartão,12x,Sim,Sim,5,15,33,1,1,2,Não,Não,Não
200075,000.000.000-75,Nicolas Gomes,(69) 92259-4401,nicolas.gomes.75@email.com,2024-07-19,Plus,Anual,900,720,2025-07-19,Boleto,1x,Sim,,21,41,39,4,1,2,Não,Não,Não
200076,000.000.000-76,Renata Lima,(99) 95659-5665,renata.lima.76@aluno.com,2023-04-07,Plus,Anual,900,720,2024-04-06,Pix,1x,Sim,,5,10,4,2,2,6,Não,Não,Não
200077,000.000.000-77,Fernanda Pereira,(33) 96704-6872,fernanda.pereira.77@email.com,2024-02-17,Plus,Anual,900,720,2025-02-16,Cartão,1x,Não,Sim,0,2,3,0,0,2,Não,Não,Não
200078,000.000.000-78,Paulo Rodrigues,(37) 94980-8280,paulo.rodrigues.78@email.com,2023-07-28,Plus,Anual,900,720,2024-07-27,Cartão,12x,Não,Sim,23,41,34,1,4,5,Não,Não,Não
200079,000.000.000-79,Daniela Pereira,(39) 97050-4686,daniela.pereira.79@gmail.com,2023-06-27,Plus,Anual,900,720,2024-06-26,Boleto,1x,Sim,,25,33,11,0,5,6,Não,Não,Sim
200080,000.000.000-80,Mariana Almeida,(94) 97713-1011,mariana.almeida.80@outlook.com,2024-08-05,Plus,Anual,900,720,2025-08-05,Cartão,12x,Não,Sim,2,14,13,0,1,1,Não,Não,Não
200081,000.000.000-81,Bruno Silva,(33) 98145-7618,bruno.silva.81@email.com,2023-08-16,Plus,Anual,900,720,2024-08-15,Pix,1x,Sim,,12,20,24,4,4,4,Não,Não,Não
200082,000.000.000-82,Juliana Almeida,,juliana.almeida.82@email.com,2024-07-07,Plus,Anual,900,720,2025-07-07,Cartão,12x,Não,Não,0,2,1,0,0,0,Não,Não,Sim
200083,000.000.000-83,Karen Lima,(90) 92421-0537,karen.lima.83@gmail.com,2023-08-09,Plus,Anual,900,720,2024-08-08,Pix,1x,Não,,4,8,1,0,3,4,Sim,Não,Não
200084,000.000.000-84,Renata Silva,(28) 98452-4579,renata.silva.84@outlook.com,2024-12-11,Plus,Anual,900,720,2025-12-11,Outros,1x,Não,,21,35,7,0,5,12,Não,Não,Não
200085,000.000.000-85,Renata Rodrigues,(95) 93355-0154,renata.rodrigues.85@aluno.com,2023-10-20,Pro,Anual,1000,800,2024-10-19,Cartão,1x,Não,Sim,3,14,8,2,3,5,Não,Não,Não
200086,000.000.000-86,Bruno Gomes,(23) 95087-3554,bruno.gomes.86@gmail.com,2024-06-29,Pro,Anual,1000,800,2025-06-29,Cartão,Nx,Não,Não,13,19,12,1,3,9,Não,Não,Não
200087,000.000.000-87,Carlos Pereira,(66) 91486-2441,carlos.pereira.87@aluno.com,2023-02-25,Pro,Anual,1000,800,2024-02-25,Boleto,1x,Não,,0,0,4,0,0,1,Não,Não,Sim
200088,000.000.000-88,Ana Lima,(26) 93297-0015,ana.lima.88@outlook.com,2023-02-07,Ultra,Anual,1200,960,2024-02-07,Cartão,12x,Não,Sim,0,1,1,0,0,2,Não,Não,Não
200089,000.000.000-89,Daniela Costa,(19) 98512-1907,daniela.costa.89@email.com,2023-01-19,Plus,Anual,900,720,2024-01-19,Cartão,12x,Não,Sim,6,14,14,2,3,6,Não,Não,Não
200090,000.000.000-90,Ana Almeida,(35) 92808-7753,ana.almeida.90@email.com,2023-10-31,Plus,Anual,900,720,2024-10-30,Cartão,12x,Não,Sim,0,1,2,0,0,0,Não,Não,Sim
200091,000.000.000-91,Victor Almeida,(36) 95106-4381,victor.almeida.91@outlook.com,2023-12-27,Plus,Anual,900,720,2024-12-26,Cartão,12x,Sim,Sim,0,1,5,0,0,0,Não,Não,Sim
200092,000.000.000-92,Paulo Gomes,(81) 94613-1032,paulo.gomes.92@email.com,2023-07-08,Plus,Anual,900,720,2024-07-07,Pix,1x,Não,,0,1,5,0,1,3,Não,Não,Não
200093,000.000.000-93,Renata Nascimento,(84) 96298-9054,renata.nascimento.93@outlook.com,2024-11-06,Plus,Anual,900,720,2025-11-06,Pix,1x,Não,,11,20,9,1,3,10,Não,Não,Não
200094,000.000.000-94,Nicolas Silva,(34) 96015-9205,nicolas.silva.94@outlook.com,2023-03-05,Plus,Anual,900,720,2024-03-04,Cartão,12x,Sim,Sim,3,6,15,1,2,2,Não,Não,Não
200095,000.000.000-95,Tatiana Souza,(53) 96920-9604,tatiana.souza.95@gmail.com,2024-09-16,Ultra,Anual,1200,960,2025-09-16,Cartão,12x,Não,Sim,0,2,0,0,1,2,Não,Não,Sim
200096,000.000.000-96,Bruno Souza,(90) 96226-9372,bruno.souza.96@email.com,2023-08-25,Plus,Anual,900,720,2024-08-24,Pix,1x,Sim,,6,16,2,1,0,6,Sim,Não,Não
200097,000.000.000-97,Gustavo Oliveira,(82) 93648-5354,gustavo.oliveira.97@outlook.com,2023-12-31,Plus,Anual,900,720,2024-12-30,Cartão,12x,Não,Sim,1,8,5,0,2,3,Não,Não,Não
200098,000.000.000-98,Eduardo Oliveira,(50) 92550-1350,eduardo.oliveira.98@aluno.com,2024-04-05,Plus,Anual,900,720,2025-04-05,Cartão,12x,Não,Sim,0,2,2,0,1,2,Não,Não,Sim
200099,000.000.000-99,Lucas Silva,(69) 90588-3694,lucas.silva.99@gmail.com,2024-10-20,Plus,Anual,900,720,2025-10-20,Pix,1x,Sim,,0,0,1,0,0,3,Não,Sim,Sim
200100,000.000.001-00,Renata Silva,,renata.silva.100@gmail.com,2023-06-25,Plus,Anual,900,720,2024-06-24,Cartão,1x,Sim,Sim,4,7,14,0,1,1,Não,Não,Não
200101,000.000.001-01,Carlos Gomes,(64) 94920-8878,carlos.gomes.101@outlook.com,2024-09-18,Plus,Anual,900,720,2025-09-18,Cartão,12x,Não,Sim,3,13,9,2,2,7,Não,Sim,Sim
200102,000.000.001-02,Sergio Rodrigues,(13) 94241-8850,sergio.rodrigues.102@outlook.com,2023-09-04,Plus,Anual,900,720,2024-09-03,Outros,1x,Não,,2,3,7,2,0,0,Não,Não,Não
200103,000.000.001-03,Olivia Lima,(32) 95646-9426,olivia.lima.103@aluno.com,2024-08-26,Pro,Anual,1000,800,2025-08-26,Cartão,Nx,Não,Sim,0,2,2,0,1,2,Não,Não,Sim
200104,000.000.001-04,Karen Lima,(46) 98840-0986,karen.lima.104@aluno.com,2023-07-21,Plus,Anual,900,720,2024-07-20,Cartão,1x,Sim,Sim,0,0,5,0,0,2,Não,Não,Não
200105,000.000.001-05,Carlos Costa,(84) 91384-3983,carlos.costa.105@outlook.com,2024-09-23,Plus,Anual,900,720,2025-09-23,Cartão,Nx,Não,Sim,0,0,3,0,0,2,Não,Não,Sim
200106,000.000.001-06,Nicolas Silva,(89) 95583-7063,nicolas.silva.106@email.com,2024-06-24,Pro,Anual,1000,800,2025-06-24,Cartão,12x,Não,Sim,10,21,35,0,1,7,Não,Não,Não
200107,000.000.001-07,Daniela Gomes,(38) 98653-2182,daniela.gomes.107@outlook.com,2023-09-03,Plus,Anual,900,720,2024-09-02,Pix,1x,Sim,,3,13,12,1,1,6,Não,Não,Não
200108,000.000.001-08,Igor Costa,(47) 93033-0059,igor.costa.108@outlook.com,2023-03-29,Plus,Anual,900,720,2024-03-28,Cartão,12x,Não,Não,5,20,10,3,3,3,Não,Não,Não
200109,000.000.001-09,Mariana Souza,(83) 93930-0534,mariana.souza.109@outlook.com,2024-02-17,Plus,Anual,900,720,2025-02-16,Cartão,12x,Não,Sim,5,17,15,2,1,7,Não,Não,Não
200110,000.000.001-10,Nicolas Nascimento,(61) 96449-9894,nicolas.nascimento.110@outlook.com,2023-08-13,Pro,Anual,1000,800,2024-08-12,Cartão,12x,Não,Sim,3,4,8,2,2,8,Não,Não,Não
200111,000.000.001-11,Mariana Souza,(44) 90497-0472,mariana.souza.111@email.com,2023-01-25,Plus,Anual,900,720,2024-01-25,Outros,1x,Não,,11,20,39,0,1,4,Não,Não,Não
200112,000.000.001-12,Olivia Souza,(25) 91585-9305,olivia.souza.112@outlook.com,2024-03-27,Plus,Anual,900,720,2025-03-27,Boleto,1x,Não,,11,15,26,1,2,2,Não,Não,Não
200113,000.000.001-13,Juliana Nascimento,(22) 91444-2623,juliana.nascimento.113@gmail.com,2024-11-16,Ultra,Anual,1200,960,2025-11-16,Cartão,12x,Não,Sim,2,4,5,0,1,3,Não,Não,Não
200114,000.000.001-14,Nicolas Almeida,(65) 92014-0306,nicolas.almeida.114@aluno.com,2023-10-22,Plus,Anual,900,720,2024-10-21,Cartão,12x,Não,Sim,0,0,3,0,1,2,Não,Não,Sim
200115,000.000.001-15,Lucas Gomes,(44) 95326-5953,lucas.gomes.115@gmail.com,2023-09-09,Plus,Anual,900,720,2024-09-08,Cartão,12x,Sim,Sim,2,10,6,2,3,3,Não,Não,Não
200116,000.000.001-16,Olivia Rodrigues,(85) 98607-8836,olivia.rodrigues.116@email.com,2023-10-01,Plus,Anual,900,720,2024-09-30,Cartão,12x,Não,Sim,0,2,4,0,0,1,Não,Não,Sim
200117,000.000.001-17,Nicolas Souza,(72) 90167-5713,nicolas.souza.117@aluno.com,2024-10-11,Plus,Anual,900,720,2025-10-11,Pix,1x,Não,,12,32,8,2,2,7,Sim,Não,Não
200118,000.000.001-18,Igor Rodrigues,(16) 97753-8584,igor.rodrigues.118@outlook.com,2024-09-20,Pro,Anual,1000,800,2025-09-20,Cartão,1x,Sim,Sim,20,40,25,1,2,12,Não,Não,Não
200119,000.000.001-19,Paulo Gomes,(12) 97767-1891,paulo.gomes.119@email.com,2024-11-27,Plus,Anual,900,720,2025-11-27,Outros,1x,Não,,0,1,3,0,0,2,Sim,Não,Sim
200120,000.000.001-20,Sergio Lima,(63) 99545-5699,sergio.lima.120@gmail.com,2024-03-03,Plus,Anual,900,720,2025-03-03,Cartão,Nx,Não,Sim,0,1,5,0,0,0,Não,Não,Sim
200121,000.000.001-21,Paulo Costa,(19) 98363-1364,paulo.costa.121@email.com,2024-10-18,Plus,Anual,900,720,2025-10-18,Cartão,12x,Não,Sim,0,1,2,0,1,1,Não,Sim,Sim
200122,000.000.001-22,Ana Oliveira,(12) 95752-0121,ana.oliveira.122@gmail.com,2023-10-24,Ultra,Anual,1200,960,2024-10-23,Cartão,12x,Não,Sim,2,14,13,2,3,8,Não,Não,Não
200123,000.000.001-23,Tatiana Rodrigues,(16) 95761-1494,tatiana.rodrigues.123@email.com,2024-11-09,Plus,Anual,900,720,2025-11-09,Cartão,12x,Sim,Sim,24,44,19,0,4,6,Não,Não,Não
200124,000.000.001-24,Igor Rodrigues,(95) 92173-7983,igor.rodrigues.124@outlook.com,2023-08-26,Ultra,Anual,1200,960,2024-08-25,Cartão,Nx,Sim,Sim,10,28,11,0,3,12,Não,Não,Não
200125,000.000.001-25,Bruno Oliveira,(73) 99694-0727,bruno.oliveira.125@gmail.com,2023-01-24,Pro,Anual,1000,800,2024-01-24,Pix,1x,Sim,,2,6,4,0,1,5,Não,Não,Não
200126,000.000.001-26,Renata Costa,,renata.costa.126@gmail.com,2024-05-05,Plus,Anual,900,720,2025-05-05,Cartão,1x,Não,Sim,4,11,21,1,4,5,Não,Não,Não
200127,000.000.001-27,Ana Nascimento,(85) 95157-4395,ana.nascimento.127@email.com,2023-02-15,Plus,Anual,900,720,2024-02-15,Cartão,12x,Não,Sim,1,8,13,0,1,3,Não,Não,Não
